Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
38,1/10/19,38,24-050,TOR_LW,@,NJD,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,21,15:35,0,0,0,0,
39,1/12/19,39,24-052,TOR_LW,,BOS,L,1,0,1,1,2,1,0,0,0,0,0,0,4,25,22,15:42,2,0,0,1,0
40,1/14/19,40,24-054,TOR_LW,,COL,L,0,1,1,2,0,0,0,0,0,1,0,0,2,0,21,15:42,0,1,0,0,
41,1/17/19,41,24-057,TOR_LW,@,TBL,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0,17,13:13,2,2,0,0,
42,1/18/19,42,24-058,TOR_LW,@,FLA,L,0,0,0,-1,2,0,0,0,0,0,0,0,2,0,20,13:06,1,0,0,0,
43,1/20/19,43,24-060,TOR_LW,,ARI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,8:12,0,0,0,0,
44,2/1/19,44,24-072,TOR_LW,@,DET,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,11:13,1,0,0,0,
45,2/2/19,45,24-073,TOR_LW,,PIT,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,10:00,1,1,0,0,
46,2/4/19,46,24-075,TOR_LW,,ANA,W,2,2,4,3,0,2,0,0,1,1,1,0,4,50,17,11:51,1,0,0,0,
47,2/6/19,47,24-077,TOR_LW,,OTT,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100,17,9:31,2,0,0,0,
48,2/9/19,48,24-080,TOR_LW,@,MTL,W,1,1,2,3,0,1,0,0,0,1,0,0,1,100,17,13:01,0,0,0,0,
49,2/10/19,49,24-081,TOR_LW,@,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,13:40,1,0,0,0,
50,2/12/19,50,24-083,TOR_LW,@,COL,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,20,12:20,3,0,0,0,
51,2/14/19,51,24-085,TOR_LW,@,VEG,W,1,0,1,0,0,0,1,0,0,0,0,0,1,100,7,5:32,0,1,0,0,
52,2/19/19,52,24-090,TOR_LW,@,STL,L-OT,0,0,0,0,2,0,0,0,0,0,0,0,0,,20,15:27,0,0,1,0,100
53,2/21/19,53,24-092,TOR_LW,,WSH,L,1,0,1,1,0,1,0,0,0,0,0,0,10,10,22,18:09,2,0,0,0,
54,2/23/19,54,24-094,TOR_LW,,MTL,W,1,0,1,0,2,1,0,0,0,0,0,0,3,33.3,22,15:18,0,0,0,2,0
55,2/25/19,55,24-096,TOR_LW,,BUF,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0,22,15:23,0,0,0,0,
56,2/27/19,56,24-098,TOR_LW,,EDM,W,2,0,2,1,0,1,1,0,1,0,0,0,3,66.7,25,15:29,0,1,0,0,
57,2/28/19,57,24-099,TOR_LW,@,NYI,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,20,15:33,2,1,0,0,
58,3/2/19,58,24-101,TOR_LW,,BUF,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,19,15:50,0,0,0,1,0
59,3/4/19,59,24-103,TOR_LW,@,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0,21,15:32,1,0,0,0,
60,3/6/19,60,24-105,TOR_LW,@,VAN,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0,17,14:35,0,2,0,0,
61,3/9/19,61,24-108,TOR_LW,@,EDM,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,21,16:30,0,1,0,0,
62,3/11/19,62,24-110,TOR_LW,,TBL,L,0,1,1,-2,0,0,0,0,0,1,0,0,2,0,23,14:56,0,1,0,0,
