Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
10,10/30/17,10,29-172,BOS_LW,@,CBJ,L-SO,1,0,1,0,4,0,1,0,0,0,0,0,1,100,32,23:26,1,1,1,2,33.3
11,11/2/17,11,29-175,BOS_LW,,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0,26,21:59,0,0,2,4,33.3
12,11/4/17,12,29-177,BOS_LW,,WSH,L,0,1,1,1,0,0,0,0,0,0,1,0,4,0,25,22:34,0,1,1,0,100
13,11/10/17,13,29-183,BOS_LW,@,TOR,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,3,0,27,23:02,0,0,0,4,0
14,11/11/17,14,29-184,BOS_LW,,TOR,L,0,0,0,-1,4,0,0,0,0,0,0,0,5,0,23,21:08,0,0,0,2,0
15,11/29/17,15,29-202,BOS_LW,,TBL,W,0,2,2,2,4,0,0,0,0,2,0,0,3,0,28,22:09,0,3,1,0,100
16,12/2/17,16,29-205,BOS_LW,@,PHI,W,1,1,2,2,0,1,0,0,0,1,0,0,2,50,23,15:52,2,1,0,0,
17,12/4/17,17,29-207,BOS_LW,@,NSH,L,0,1,1,1,2,0,0,0,0,1,0,0,2,0,25,21:50,0,0,0,1,0
18,12/7/17,18,29-210,BOS_LW,,ARI,W,1,1,2,1,0,1,0,0,0,0,1,0,1,100,20,16:55,2,0,0,2,0
19,12/9/17,19,29-212,BOS_LW,,NYI,W,1,0,1,0,5,0,1,0,0,0,0,0,3,33.3,29,19:51,1,1,0,0,
20,12/13/17,20,29-216,BOS_LW,@,DET,W,1,1,2,1,0,1,0,0,1,1,0,0,2,50,26,21:27,0,0,0,3,0
21,12/14/17,21,29-217,BOS_LW,,WSH,L,0,1,1,-2,12,0,0,0,0,0,1,0,2,0,21,17:44,0,2,1,3,25
22,12/16/17,22,29-219,BOS_LW,,NYR,L-OT,1,0,1,0,0,0,1,0,0,0,0,0,6,16.7,28,23:34,0,0,0,1,0
23,12/18/17,23,29-221,BOS_LW,,CBJ,W,1,1,2,2,0,1,0,0,0,1,0,0,2,50,21,17:57,0,1,0,0,
24,12/19/17,24,29-222,BOS_LW,@,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0,22,18:14,0,0,0,1,0
25,12/21/17,25,29-224,BOS_LW,,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0,27,20:01,1,0,1,1,50
26,12/23/17,26,29-226,BOS_LW,,DET,W,1,2,3,2,0,0,1,0,0,2,0,0,2,50,23,17:06,0,0,1,3,25
27,12/27/17,27,29-230,BOS_LW,,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0,23,18:41,1,2,1,1,50
28,12/28/17,28,29-231,BOS_LW,@,WSH,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,5,0,28,24:35:00,0,0,0,1,0
29,12/30/17,29,29-233,BOS_LW,@,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,15:09,3,0,0,0,
30,1/2/18,30,29-236,BOS_LW,@,NYI,W,1,1,2,1,2,1,0,0,0,1,0,0,5,20,20,15:24,0,0,0,0,
31,1/6/18,31,29-240,BOS_LW,,CAR,W,0,4,4,4,0,0,0,0,0,3,0,1,2,0,19,13:48,0,0,0,1,0
32,1/7/18,32,29-241,BOS_LW,@,PIT,L-OT,1,1,2,1,0,1,0,0,0,1,0,0,4,25,25,19:11,0,0,0,5,0
33,1/13/18,33,29-247,BOS_LW,@,MTL,W,1,0,1,0,0,0,1,0,0,0,0,0,3,33.3,28,19:52,0,0,0,3,0
34,1/15/18,34,29-249,BOS_LW,,DAL,L-OT,0,0,0,-1,2,0,0,0,0,0,0,0,4,0,29,21:49,1,1,3,0,100
35,1/17/18,35,29-251,BOS_LW,,MTL,W,1,1,2,0,0,0,1,0,0,1,0,0,3,33.3,22,15:54,2,1,2,0,100
36,1/18/18,36,29-252,BOS_LW,@,NYI,W,1,2,3,2,0,1,0,0,0,2,0,0,3,33.3,21,16:23,2,0,0,0,
