Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
38,12/27/18,38,22-216,BOS_RW,,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,5,0,22,18:43,1,0,0,0,
39,12/29/18,39,22-218,BOS_RW,@,BUF,W,0,1,1,-1,0,0,0,0,0,0,1,0,4,0,23,22:34,2,0,0,0,
40,1/1/19,40,22-221,BOS_RW,@,CHI,W,1,1,2,0,0,0,1,0,0,0,1,0,6,16.7,25,19:44,0,0,0,0,
41,1/3/19,41,22-223,BOS_RW,,CGY,W,1,1,2,0,0,0,1,0,0,1,0,0,3,33.3,22,19:06,1,1,0,0,
42,1/5/19,42,22-225,BOS_RW,,BUF,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,19,17:44,3,1,0,0,
43,1/8/19,43,22-228,BOS_RW,,MIN,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0,16,11:32,1,1,0,0,
44,1/10/19,44,22-230,BOS_RW,,WSH,L,0,0,0,-3,0,0,0,0,0,0,0,0,6,0,22,21:38,1,1,0,0,
45,1/12/19,45,22-232,BOS_RW,@,TOR,W,1,0,1,1,0,1,0,0,1,0,0,0,5,20,23,18:05,1,0,0,0,
46,1/14/19,46,22-234,BOS_RW,,MTL,L-OT,0,1,1,-2,0,0,0,0,0,0,1,0,2,0,21,17:58,2,1,0,0,
47,1/16/19,47,22-236,BOS_RW,@,PHI,L,1,0,1,1,0,0,1,0,0,0,0,0,5,20,23,21:46,2,1,0,0,
48,1/17/19,48,22-237,BOS_RW,,STL,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0,20,18:34,1,0,0,0,
49,1/19/19,49,22-239,BOS_RW,,NYR,L,0,1,1,-1,0,0,0,0,0,1,0,0,3,0,20,19:16,2,0,0,0,
50,1/29/19,50,22-249,BOS_RW,,WPG,L-SO,1,2,3,0,0,0,1,0,0,2,0,0,6,16.7,24,19:42,2,2,0,0,
51,1/31/19,51,22-251,BOS_RW,,PHI,L-OT,2,0,2,1,0,1,1,0,0,0,0,0,5,40,23,17:27,2,0,0,0,
52,2/3/19,52,22-254,BOS_RW,@,WSH,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0,22,19:59,1,0,0,0,
53,2/5/19,53,22-256,BOS_RW,,NYI,W,0,2,2,2,0,0,0,0,0,2,0,0,5,0,17,13:42,1,0,0,0,
54,2/6/19,54,22-257,BOS_RW,@,NYR,L-SO,1,0,1,0,0,1,0,0,0,0,0,0,2,50,23,17:48,0,1,0,0,
55,2/9/19,55,22-260,BOS_RW,,LAK,W,0,1,1,-2,0,0,0,0,0,1,0,0,0,,18,16:13,1,1,0,1,0
56,2/10/19,56,22-261,BOS_RW,,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0,21,20:42,0,0,1,0,100
57,3/19/19,57,22-298,BOS_RW,@,NYI,W,0,0,0,1,2,0,0,0,0,0,0,0,3,0,19,14:19,0,0,0,0,
58,3/21/19,58,22-300,BOS_RW,@,NJD,W,1,1,2,2,2,1,0,0,1,1,0,0,3,33.3,18,15:51,2,0,0,0,
59,3/23/19,59,22-302,BOS_RW,@,FLA,W,1,1,2,3,0,1,0,0,0,1,0,0,1,100,19,17:24,1,0,0,0,
60,3/25/19,60,22-304,BOS_RW,@,TBL,L,0,2,2,0,4,0,0,0,0,1,1,0,1,0,19,15:30,2,0,0,0,
61,3/27/19,61,22-306,BOS_RW,,NYR,W,3,2,5,2,2,1,2,0,1,1,1,0,5,60,19,19:32,1,0,0,0,
62,3/30/19,62,22-309,BOS_RW,,FLA,L,0,0,0,-2,0,0,0,0,0,0,0,0,5,0,21,19:08,1,0,0,0,
63,3/31/19,63,22-310,BOS_RW,@,DET,L,0,0,0,-3,0,0,0,0,0,0,0,0,2,0,20,17:33,0,1,0,0,
64,4/2/19,64,22-312,BOS_RW,@,CBJ,W,1,0,1,2,0,1,0,0,0,0,0,0,2,50,18,15:23,3,0,0,0,
65,4/4/19,65,22-314,BOS_RW,@,MIN,W,1,0,1,1,0,1,0,0,0,0,0,0,5,20,19,18:09,0,0,0,0,
66,4/6/19,66,22-316,BOS_RW,,TBL,L,0,2,2,-1,2,0,0,0,0,2,0,0,2,0,20,19:20,2,0,0,0,
1,10/5/17,1,21-133,BOS_RW,,NSH,W,1,0,1,-1,0,0,1,0,0,0,0,0,4,25,18,16:36,0,1,0,2,0
2,10/9/17,2,21-137,BOS_RW,,COL,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0,19,20:18,0,0,1,0,100
3,10/11/17,3,21-139,BOS_RW,@,COL,L,0,0,0,-3,0,0,0,0,0,0,0,0,4,0,22,19:43,1,0,0,0,
4,10/14/17,4,21-142,BOS_RW,@,ARI,W,1,1,2,3,2,1,0,0,0,1,0,0,2,50,20,15:46,2,0,0,0,
5,10/15/17,5,21-143,BOS_RW,@,VEG,L,1,0,1,0,0,1,0,0,0,0,0,0,2,50,22,19:12,0,0,0,0,
6,10/19/17,6,21-147,BOS_RW,,VAN,W,1,1,2,-1,0,0,1,0,0,0,1,0,4,25,19,18:50,0,0,0,1,0
7,10/21/17,7,21-149,BOS_RW,,BUF,L-OT,2,0,2,-1,0,2,0,0,0,0,0,0,4,50,22,17:32,1,0,0,2,0
8,10/26/17,8,21-154,BOS_RW,,SJS,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0,22,18:57,0,1,0,0,
9,10/28/17,9,21-156,BOS_RW,,LAK,L-OT,0,0,0,-2,0,0,0,0,0,0,0,0,2,0,25,21:06,1,1,1,1,50
10,10/30/17,10,21-158,BOS_RW,@,CBJ,L-SO,0,3,3,-1,0,0,0,0,0,1,2,0,2,0,29,19:23,1,0,0,0,
11,11/2/17,11,21-161,BOS_RW,,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0,23,19:30,2,1,0,0,
12,11/4/17,12,21-163,BOS_RW,,WSH,L,2,0,2,0,0,1,1,0,0,0,0,0,6,33.3,23,21:39,1,0,0,0,
13,11/6/17,13,21-165,BOS_RW,,MIN,W,0,1,1,-1,0,0,0,0,0,1,0,0,3,0,20,18:27,1,1,1,1,50
14,11/8/17,14,21-167,BOS_RW,@,NYR,L,1,1,2,1,2,1,0,0,0,1,0,0,3,33.3,26,22:07,0,0,0,0,
15,11/10/17,15,21-169,BOS_RW,@,TOR,L-OT,1,0,1,0,0,0,1,0,0,0,0,0,2,50,23,18:56,1,1,0,2,0
16,11/11/17,16,21-170,BOS_RW,,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0,20,18:44,2,0,0,0,
17,11/15/17,17,21-174,BOS_RW,@,ANA,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0,21,18:25,1,0,0,0,
18,11/16/17,18,21-175,BOS_RW,@,LAK,W,0,0,0,1,2,0,0,0,0,0,0,0,0,,19,14:42,1,0,0,0,
19,11/18/17,19,21-177,BOS_RW,@,SJS,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0,19,15:10,1,0,0,0,
20,11/22/17,20,21-181,BOS_RW,@,NJD,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0,22,20:13,0,0,1,1,50
21,11/24/17,21,21-183,BOS_RW,,PIT,W,1,0,1,2,0,1,0,0,1,0,0,0,5,20,25,22:04,1,0,0,0,
22,11/26/17,22,21-185,BOS_RW,,EDM,L,1,0,1,-2,0,0,1,0,0,0,0,0,2,50,20,18:29,1,0,0,2,0
23,11/29/17,23,21-188,BOS_RW,,TBL,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0,26,19:03,1,1,1,0,100
24,12/2/17,24,21-191,BOS_RW,@,PHI,W,1,1,2,2,2,1,0,0,0,1,0,0,3,33.3,19,13:43,0,0,0,0,
25,12/4/17,25,21-193,BOS_RW,@,NSH,L,1,0,1,1,0,1,0,0,0,0,0,0,5,20,26,22:27,1,1,0,0,
26,12/7/17,26,21-196,BOS_RW,,ARI,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0,21,16:38,1,0,0,0,
27,12/9/17,27,21-198,BOS_RW,,NYI,W,0,2,2,1,0,0,0,0,0,1,1,0,2,0,26,18:37,2,1,0,1,0
28,12/13/17,28,21-202,BOS_RW,@,DET,W,1,0,1,0,0,1,0,0,0,0,0,0,2,50,21,19:30,0,0,0,0,
29,12/14/17,29,21-203,BOS_RW,,WSH,L,0,1,1,-2,0,0,0,0,0,0,1,0,2,0,21,19:39,0,0,0,1,0
