Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
40,1/3/19,40,21-243,TOR_RW,,MIN,L,2,0,2,1,0,2,0,0,0,0,0,0,9,22.2,24,24:06:00,0,0,0,0,
41,1/5/19,41,21-245,TOR_RW,,VAN,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,24,19:20,0,0,0,0,
42,1/7/19,42,21-247,TOR_RW,,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,25,20:44,1,2,0,0,
43,1/10/19,43,21-250,TOR_RW,@,NJD,W,1,1,2,3,0,1,0,0,0,1,0,0,3,33.3,28,18:50,0,0,1,0,100
44,1/12/19,44,21-252,TOR_RW,,BOS,L,1,0,1,0,0,0,1,0,0,0,0,0,3,33.3,25,19:41,0,1,1,0,100
45,1/14/19,45,21-254,TOR_RW,,COL,L,1,0,1,-3,0,1,0,0,0,0,0,0,2,50,23,21:09,0,1,0,0,
46,1/17/19,46,21-257,TOR_RW,@,TBL,W,1,0,1,1,0,1,0,0,1,0,0,0,3,33.3,23,19:11,0,1,0,0,
47,1/18/19,47,21-258,TOR_RW,@,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26,20:27,0,0,0,0,
48,1/20/19,48,21-260,TOR_RW,,ARI,L,0,1,1,-1,0,0,0,0,0,1,0,0,3,0,26,20:48,0,1,0,0,
49,1/23/19,49,21-263,TOR_RW,,WSH,W,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,23,18:58,0,0,0,0,
50,2/1/19,50,21-272,TOR_RW,@,DET,L-OT,0,0,0,1,4,0,0,0,0,0,0,0,3,0,26,22:34,0,0,0,0,
51,2/2/19,51,21-273,TOR_RW,,PIT,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0,28,19:04,1,3,0,0,
52,2/4/19,52,21-275,TOR_RW,,ANA,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,24,16:19,0,1,0,0,
53,2/6/19,53,21-277,TOR_RW,,OTT,W,0,2,2,2,0,0,0,0,0,2,0,0,3,0,25,20:46,0,0,0,0,
54,2/9/19,54,21-280,TOR_RW,@,MTL,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,27,19:11,0,2,0,0,
55,2/10/19,55,21-281,TOR_RW,@,NYR,L,0,0,0,-3,0,0,0,0,0,0,0,0,4,0,23,20:10,0,0,0,0,
56,2/12/19,56,21-283,TOR_RW,@,COL,W,0,1,1,-1,0,0,0,0,0,0,1,0,0,,23,18:40,2,1,0,0,
57,2/14/19,57,21-285,TOR_RW,@,VEG,W,1,1,2,2,0,0,0,1,0,1,0,0,4,25,28,20:58,1,0,0,0,
58,2/16/19,58,21-287,TOR_RW,@,ARI,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0,23,21:07,2,1,0,0,
59,2/19/19,59,21-290,TOR_RW,@,STL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,5,0,24,20:09,0,2,0,0,
60,2/21/19,60,21-292,TOR_RW,,WSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0,24,20:16,1,0,0,0,
61,2/23/19,61,21-294,TOR_RW,,MTL,W,0,2,2,3,0,0,0,0,0,2,0,0,6,0,30,18:24,0,1,0,1,0
62,2/25/19,62,21-296,TOR_RW,,BUF,W,0,0,0,-1,0,0,0,0,0,0,0,0,5,0,25,21:02,0,2,0,0,
63,2/27/19,63,21-298,TOR_RW,,EDM,W,1,2,3,0,0,1,0,0,0,0,2,0,1,100,24,17:21,0,0,0,0,
64,2/28/19,64,21-299,TOR_RW,@,NYI,L,0,1,1,0,0,0,0,0,0,1,0,0,5,0,24,18:18,0,0,0,0,
65,3/2/19,65,21-301,TOR_RW,,BUF,W,1,2,3,3,2,1,0,0,0,2,0,0,4,25,25,19:37,0,0,0,0,
66,3/4/19,66,21-303,TOR_RW,@,CGY,W,1,2,3,3,0,1,0,0,0,2,0,0,2,50,23,17:28,0,0,0,0,
67,3/6/19,67,21-305,TOR_RW,@,VAN,L-OT,0,1,1,0,0,0,0,0,0,0,0,1,4,0,27,21:58,0,0,0,0,
68,3/9/19,68,21-308,TOR_RW,@,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,5,0,27,19:23,1,0,0,0,
69,3/11/19,69,21-310,TOR_RW,,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,22,15:31,0,0,0,0,
70,3/13/19,70,21-312,TOR_RW,,CHI,L,0,2,2,0,0,0,0,0,0,1,1,0,3,0,25,20:06,0,0,0,0,
71,3/15/19,71,21-314,TOR_RW,,PHI,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0,30,22:21,0,0,1,0,100
72,3/16/19,72,21-315,TOR_RW,@,OTT,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,26,19:15,1,0,0,0,
73,3/19/19,73,21-318,TOR_RW,@,NSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,6,0,23,19:13,0,0,0,0,
74,3/20/19,74,21-319,TOR_RW,@,BUF,W,1,0,1,1,0,1,0,0,1,0,0,0,2,50,31,22:30,1,0,0,0,
75,3/23/19,75,21-322,TOR_RW,,NYR,L-OT,0,1,1,0,0,0,0,0,0,1,0,0,4,0,26,21:54,0,0,0,0,
76,3/25/19,76,21-324,TOR_RW,,FLA,W,0,3,3,0,0,0,0,0,0,2,1,0,2,0,28,22:17,1,1,0,0,
77,3/27/19,77,21-326,TOR_RW,@,PHI,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,4,0,28,20:26,0,0,0,0,
78,3/30/19,78,21-329,TOR_RW,@,OTT,L,0,1,1,0,0,0,0,0,0,0,1,0,4,0,26,22:18,0,2,0,0,
79,4/1/19,79,21-331,TOR_RW,@,NYI,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0,24,22:54,1,1,1,0,100
80,4/2/19,80,21-332,TOR_RW,,CAR,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,27,22:21,0,2,0,0,
81,4/4/19,81,21-334,TOR_RW,,TBL,L,1,0,1,-1,0,1,0,0,0,0,0,0,4,25,21,20:34,0,2,1,0,100
82,4/6/19,82,21-336,TOR_RW,@,MTL,L-SO,0,1,1,2,0,0,0,0,0,1,0,0,2,0,27,17:34,0,1,0,0,
1,10/4/17,1,20-152,TOR_RW,@,WPG,W,1,1,2,0,0,0,1,0,0,1,0,0,2,50,20,15:41,0,3,3,1,75
2,10/7/17,2,20-155,TOR_RW,,NYR,W,0,1,1,-2,0,0,0,0,0,1,0,0,1,0,26,18:30,0,0,2,2,50
3,10/9/17,3,20-157,TOR_RW,,CHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,5,0,22,15:44,2,1,5,0,100
4,10/11/17,4,20-159,TOR_RW,,NJD,L,0,1,1,-2,0,0,0,0,0,0,1,0,3,0,25,16:21,0,0,0,0,
5,10/14/17,5,20-162,TOR_RW,@,MTL,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0,20,14:20,2,0,0,1,0
6,10/17/17,6,20-165,TOR_RW,@,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,12:49,0,1,3,0,100
7,10/18/17,7,20-166,TOR_RW,,DET,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,18,11:21,1,0,1,0,100
8,10/21/17,8,20-169,TOR_RW,@,OTT,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,22,15:36,1,1,1,1,50
9,10/23/17,9,20-171,TOR_RW,,LAK,W,0,2,2,0,0,0,0,0,0,1,1,0,1,0,22,12:03,0,0,1,0,100
10,10/26/17,10,20-174,TOR_RW,,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,16:28,0,0,0,2,0
11,10/28/17,11,20-176,TOR_RW,,PHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,16:12,1,0,0,2,0
12,10/30/17,12,20-178,TOR_RW,@,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0,22,15:03,1,2,1,0,100
13,11/1/17,13,20-180,TOR_RW,@,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,14:04,0,0,0,1,0
14,11/2/17,14,20-181,TOR_RW,@,LAK,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,22,14:40,0,0,1,0,100
15,11/4/17,15,20-183,TOR_RW,@,STL,L,0,2,2,2,0,0,0,0,0,2,0,0,4,0,21,14:28,0,0,0,3,0
16,11/6/17,16,20-185,TOR_RW,,VEG,W,0,1,1,0,0,0,0,0,0,0,1,0,0,,26,18:12,0,0,0,1,0
17,11/8/17,17,20-187,TOR_RW,,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,24,15:47,1,0,0,2,0
18,11/10/17,18,20-189,TOR_RW,,BOS,W,0,2,2,2,0,0,0,0,0,2,0,0,1,0,20,17:28,0,0,1,1,50
19,11/11/17,19,20-190,TOR_RW,@,BOS,W,1,1,2,2,0,1,0,0,0,1,0,0,6,16.7,23,13:57,1,0,2,0,100
20,11/16/17,20,20-195,TOR_RW,,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,24,16:36,0,0,0,0,
21,11/18/17,21,20-197,TOR_RW,@,MTL,W,0,2,2,2,0,0,0,0,0,2,0,0,1,0,22,16:37,0,0,0,0,
22,11/20/17,22,20-199,TOR_RW,,ARI,L,0,1,1,-2,2,0,0,0,0,0,1,0,0,,22,16:19,1,0,0,0,
23,11/22/17,23,20-201,TOR_RW,@,FLA,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,4,0,22,20:11,0,0,0,0,
24,11/24/17,24,20-203,TOR_RW,@,CAR,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0,20,16:33,0,0,0,0,
25,11/25/17,25,20-204,TOR_RW,,WSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0,20,14:49,0,1,1,2,33.3
26,11/28/17,26,20-207,TOR_RW,@,CGY,W,0,0,0,-1,0,0,0,0,0,0,0,0,5,0,21,15:34,1,1,1,2,33.3
27,11/30/17,27,20-209,TOR_RW,@,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,12:25,1,0,2,2,50
28,12/2/17,28,20-211,TOR_RW,@,VAN,L,0,0,0,-1,2,0,0,0,0,0,0,0,2,0,22,17:24,0,1,0,0,
29,12/6/17,29,20-215,TOR_RW,,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0,24,16:44,0,1,2,0,100
30,12/9/17,30,20-218,TOR_RW,@,PIT,W,0,3,3,3,0,0,0,0,0,3,0,0,2,0,16,11:59,0,1,1,1,50
31,12/10/17,31,20-219,TOR_RW,,EDM,W,0,0,0,0,4,0,0,0,0,0,0,0,1,0,20,13:56,0,0,0,0,
32,12/12/17,32,20-221,TOR_RW,@,PHI,L,0,1,1,-1,0,0,0,0,0,0,1,0,0,,19,15:20,0,0,0,2,0
33,12/14/17,33,20-223,TOR_RW,@,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,22,18:47,0,1,0,0,
34,12/15/17,34,20-224,TOR_RW,@,DET,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,19:29,0,0,0,0,
35,12/19/17,35,20-228,TOR_RW,,CAR,W,1,3,4,2,0,0,1,0,1,2,1,0,6,16.7,18,13:15,0,0,1,2,33.3
36,12/20/17,36,20-229,TOR_RW,@,CBJ,L,1,0,1,1,0,1,0,0,0,0,0,0,7,14.3,23,17:37,0,0,0,0,
37,12/23/17,37,20-232,TOR_RW,@,NYR,W,0,1,1,-1,0,0,0,0,0,0,1,0,3,0,23,14:18,0,1,0,1,0
38,12/28/17,38,20-237,TOR_RW,@,ARI,W,1,2,3,0,0,1,0,0,0,1,1,0,2,50,26,15:16,0,0,0,1,0
