Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%,
34,1/29/19,34,33-189,BOS_C,,WPG,L-SO,2,0,2,1,0,2,0,0,0,0,0,0,6,33.3,27,19:34,1,0,20,11,64.5,
35,1/31/19,35,33-191,BOS_C,,PHI,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,3,0,27,19:21,1,2,9,17,34.6,
36,2/3/19,36,33-194,BOS_C,@,WSH,W,0,0,0,0,2,0,0,0,0,0,0,0,4,0,23,18:04,3,1,10,3,76.9,
37,2/5/19,37,33-196,BOS_C,,NYI,W,2,0,2,2,0,2,0,0,0,0,0,0,4,50,21,15:33,0,0,8,9,47.1,
38,2/6/19,38,33-197,BOS_C,@,NYR,L-SO,1,0,1,0,4,0,1,0,0,0,0,0,6,16.7,28,19:29,1,0,10,6,62.5,
39,2/9/19,39,33-200,BOS_C,,LAK,W,1,2,3,3,0,0,1,0,1,1,0,1,7,14.3,26,21:23,0,1,13,11,54.2,
40,2/10/19,40,33-201,BOS_C,,COL,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0,25,21:32,2,3,14,11,56,
41,2/12/19,41,33-203,BOS_C,,CHI,W,0,2,2,3,0,0,0,0,0,1,1,0,3,0,22,18:54,1,0,13,8,61.9,
42,2/15/19,42,33-206,BOS_C,@,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0,22,18:46,0,0,15,3,83.3,
43,2/16/19,43,33-207,BOS_C,@,LAK,W,1,1,2,2,0,1,0,0,0,1,0,0,4,25,23,16:01,0,0,13,3,81.3,
44,2/18/19,44,33-209,BOS_C,@,SJS,W,0,1,1,-1,0,0,0,0,0,0,1,0,1,0,28,20:09,0,2,15,14,51.7,
45,2/20/19,45,33-211,BOS_C,@,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,20:14,1,2,10,9,52.6,
